Bit_length,N,Lattice_dimension,|b_op - t|^2,|vbest - t|^2,P(b_op),P(vbest),P(|vnew - t|^2 < |b_op - t|^2),P(|vnew - t|^2 <= |b_op - t|^2),P(|vnew - t|^2 > |b_op - t|^2)
33.0,7341415519.0,7.0,72.0,72.0,0.288,0.288,0.0,0.288,0.712
33.0,8313413239.0,7.0,62.0,62.0,0.407,0.407,0.0,0.407,0.593
34.0,17031257729.0,7.0,112.0,111.0,0.532,0.252,0.252,0.784,0.21599999999999997
34.0,10255872373.0,7.0,119.0,105.0,0.17500000000000002,0.265,0.515,0.6900000000000001,0.30999999999999994
34.0,14688499229.0,7.0,62.0,62.0,0.617,0.617,0.0,0.617,0.383
34.0,16442828603.0,7.0,76.0,74.0,0.312,0.047,0.047,0.359,0.641
34.0,16781232137.0,7.0,59.0,59.0,0.499,0.499,0.0,0.499,0.501
34.0,15860374207.0,7.0,116.0,103.0,0.106,0.083,0.393,0.499,0.501
34.0,11500450081.0,7.0,70.0,70.0,0.728,0.728,0.0,0.728,0.272
34.0,16500383897.0,7.0,79.0,79.0,0.453,0.453,0.0,0.453,0.5469999999999999
34.0,13045673023.0,7.0,72.0,66.0,0.09,0.239,0.307,0.397,0.603
34.0,15594393299.0,7.0,75.0,70.0,0.399,0.186,0.186,0.585,0.41500000000000004
35.0,28431356747.0,7.0,88.0,85.0,0.39,0.085,0.085,0.47500000000000003,0.5249999999999999
35.0,30216768011.0,7.0,75.0,71.0,0.165,0.034,0.037000000000000005,0.202,0.798
35.0,25392358711.0,7.0,80.0,80.0,0.598,0.598,0.0,0.598,0.402
35.0,33027983059.0,7.0,80.0,75.0,0.251,0.237,0.237,0.488,0.512
35.0,33191591471.0,7.0,75.0,74.0,0.431,0.265,0.265,0.696,0.30400000000000005
35.0,17944012859.0,7.0,86.0,74.0,0.065,0.15,0.29000000000000004,0.35500000000000004,0.645
35.0,33049948249.0,7.0,131.0,126.0,0.094,0.075,0.716,0.8099999999999999,0.19000000000000006
35.0,33615839123.0,7.0,76.0,76.0,0.747,0.747,0.0,0.747,0.253
35.0,25596841883.0,7.0,98.0,91.0,0.19,0.28,0.387,0.577,0.42300000000000004
35.0,33700840223.0,7.0,83.0,80.0,0.328,0.069,0.069,0.397,0.603
36.0,50054584507.0,7.0,93.0,82.0,0.135,0.499,0.499,0.634,0.366
36.0,63105658139.0,7.0,79.0,79.0,0.417,0.417,0.0,0.417,0.583
36.0,62373080017.0,7.0,86.0,86.0,0.533,0.533,0.0,0.533,0.46699999999999997
36.0,65614336979.0,7.0,61.0,61.0,0.406,0.406,0.0,0.406,0.594
36.0,67117167287.0,7.0,99.0,99.0,0.716,0.716,0.0,0.716,0.28400000000000003
36.0,65624393501.0,7.0,65.0,65.0,0.586,0.586,0.0,0.586,0.41400000000000003
36.0,64618012049.0,7.0,103.0,100.0,0.466,0.411,0.411,0.877,0.123
36.0,62362782271.0,7.0,91.0,91.0,0.577,0.577,0.0,0.577,0.42300000000000004
36.0,66595234247.0,7.0,75.0,75.0,0.703,0.703,0.0,0.703,0.29700000000000004
36.0,65526566437.0,7.0,87.0,87.0,0.267,0.267,0.0,0.267,0.733
37.0,80502311347.0,7.0,139.0,133.0,0.195,0.2,0.312,0.507,0.493
37.0,116082758447.0,7.0,74.0,74.0,0.39,0.39,0.0,0.39,0.61
37.0,90958581949.0,7.0,120.0,114.0,0.097,0.139,0.7989999999999999,0.8959999999999999,0.10400000000000009
37.0,135234468179.0,7.0,78.0,78.0,0.556,0.556,0.0,0.556,0.44399999999999995
37.0,132409207981.0,7.0,74.0,74.0,0.56,0.56,0.0,0.56,0.43999999999999995
37.0,72903506849.0,7.0,80.0,80.0,0.295,0.295,0.0,0.295,0.7050000000000001
37.0,83979004583.0,7.0,100.0,97.0,0.228,0.144,0.144,0.372,0.628
37.0,100395675719.0,7.0,48.0,48.0,0.726,0.726,0.0,0.726,0.274
37.0,125563312139.0,7.0,93.0,93.0,0.55,0.55,0.0,0.55,0.44999999999999996
37.0,94762365769.0,7.0,111.0,111.0,0.433,0.433,0.0,0.433,0.567
38.0,185983105117.0,7.0,78.0,78.0,0.507,0.507,0.0,0.507,0.493
